3;Pedro;2;1749577384
63;Pedro;6;1749577374
31;Gabriel;5;1749576331
15;gABRIEL;4;1749576236
7;gABRIEL;3;1749576211
7;Joao;3;1749512909
6;Priscila;2;1749509721
15;Priscila;4;1749509687
7;Gabriel;3;1749505123
255;Gabriela;8;1749504283
3;Gabs;2;1749502995
15;Priscila;4;1749502947
7;Priscila;3;1749502912
9;gabriel;3;1749495780
19;Pedro;4;1749434064
3;Gabriel;2;1749433963
3;Gabriel;2;1749433789
18;gabriel;3;1749433060
9;Gabriel;3;1749479818
1;Gabriel;1;1749479876
12;Bruno;3;1749496675
29;Gabriel;3;1749509402
7;GAbriel;3;1749512626
9;Gabriel;3;1749513675
7;Gabriel;3;1749513698
15;Priscila;4;1749514987
15;Gabriel;4;1749577187
